S.No,Business Name,Niche/Category,City,State,Phone Number,Address,Google Rating,Review Count,Website on Google Maps,WhatsApp Number,Google Maps Link,Demo Website Link
1,Darzi Boutique,Tailor/Boutique,Jaipur,Rajasthan,+91 95870 96555,"S-20 Nandpuri Main Rd, Hawa Sadak, Bais Godam, Jaipur",5,9,No,+91 95870 96555,https://maps.google.com/?cid=ChIJ25TldwC1bTkRwhH0t4vPRTY,https://armaanfarooqui22.github.io/business-websites/1-darzi-boutique/
2,Tiffny - A Homely Tiffin Service,Tiffin/Dabba Service,Pune,Maharashtra,+91 88639 34497,"Near Bus Stand, Rajeshree Colony, Wadgaon Sheri, Pune",4.4,171,No,+91 88639 34497,https://maps.google.com/?cid=ChIJUUopWRDBwjsRXFYUvkpYxHc,https://armaanfarooqui22.github.io/business-websites/2-tiffny-a-homely-tiffin-service/
3,Abhinav Bhojan Baner,Tiffin/Dabba Service,Pune,Maharashtra,+91 87969 06022,"Plot no 23-24, Vardhan House Gate 1, Baner, Pune",4.8,244,No,+91 87969 06022,https://maps.google.com/?cid=ChIJ-y0Pa_-_wjsRP1PJ2B18G-c,https://armaanfarooqui22.github.io/business-websites/3-abhinav-bhojan-baner/
4,Shree Ganesh Tasty & Healthy Tiffin Service,Tiffin/Dabba Service,Pune,Maharashtra,+91 95527 95541,"591 Khadakmal Ali Rd, Swargate, Pune",4.8,60,No,+91 95527 95541,https://maps.google.com/?cid=ChIJrwey3DLBwjsRz3ODLi1kmzg,https://armaanfarooqui22.github.io/business-websites/4-shree-ganesh-tasty-healthy-tiffin-service/
5,Akshay Annapurna,Tiffin/Dabba Service,Pune,Maharashtra,+91 94208 62248,"Marigold Apartments, Lane No 5, Aundh, Pune",4.8,111,No,+91 94208 62248,https://maps.google.com/?cid=ChIJP-P06Hi_wjsRnpODKf7mNXk,https://armaanfarooqui22.github.io/business-websites/5-akshay-annapurna/
6,The Daily Tiffins,Tiffin/Dabba Service,Pune,Maharashtra,+91 89837 53895,"007 Fortune House, EON Free Zone, Kharadi, Pune",5,40,No,+91 89837 53895,https://maps.google.com/?cid=ChIJTaQhqa7DwjsR1WRi7Ho1cT4,https://armaanfarooqui22.github.io/business-websites/6-the-daily-tiffins/
7,Punyacha Dabbewala,Tiffin/Dabba Service,Pune,Maharashtra,+91 86055 49243,"sr no 27, Pratik Nagar, Yerawada, Pune",4.9,386,No,+91 86055 49243,https://maps.google.com/?cid=ChIJKVqKEw_BwjsRNizwdC-i6jE,https://armaanfarooqui22.github.io/business-websites/7-punyacha-dabbewala/
8,Riwayat Tiffins,Tiffin/Dabba Service,Pune,Maharashtra,+91 94205 53377,"Kausar Baugh, Kondhwa, Pune",4.9,163,No,+91 94205 53377,https://maps.google.com/?cid=ChIJEzLO8WLrwjsRp9D7f6P6Ol8,https://armaanfarooqui22.github.io/business-websites/8-riwayat-tiffins/
9,Shahi Awadh Caterers,Catering/Events,Lucknow,Uttar Pradesh,+91 91184 10168,"172/9 Kesar Bagh, Khayali Ganj, Aminabad, Lucknow",4.8,638,No,+91 91184 10168,https://maps.google.com/?cid=ChIJTTF_gJ39mzkR0yAY5kAe3Yg,https://armaanfarooqui22.github.io/business-websites/9-shahi-awadh-caterers/
10,Kajal Caterers Lucknow,Catering/Events,Lucknow,Uttar Pradesh,+91 99569 80442,"Wireless Chauraha, Mahanagar, Lucknow",4.9,237,No,+91 99569 80442,https://maps.google.com/?cid=ChIJlSYsXmRXmTkRZUU9IX9n2Pc,https://armaanfarooqui22.github.io/business-websites/10-kajal-caterers-lucknow/
